finger,marker_id,u_px,v_px,u_undistorted_px,v_undistorted_px,x_camera_m,y_camera_m,z_camera_m,x_link_m,y_link_m,z_link_m,nx_link,ny_link,nz_link,distance_m,distortion_inverse,brown_reprojection_error_px,selected_model_reprojection_error_px,method,surface_error_m,mesh_reprojection_error_px,surface_link,triangle_id
middle,M071,200.465,191.276,204.9577926595955,200.97439793646896,0.0036255154,0.007929092,0.011780157,0.0038155024,0.004439349,0.057570457,0.5000978,0.2022703,0.8420148,0.0146556115,brown_exact,1.621132128783716e-14,1.621132128783716e-14,ray_hit,0.0,0.0,right_middip_roll_rubber_link,1477
middle,M072,120.795,192.27,114.49931507822521,203.4624564292011,-0.00438053,0.007905496,0.011421675,0.0036212197,-0.0035674407,0.057288654,0.47410554,-0.35963142,0.8036723,0.014565046,brown_exact,0.0,0.0,ray_hit,0.0,0.0,right_middip_roll_rubber_link,1234
middle,M073,316.061,192.761,461.51824897657355,266.6715181852877,0.009881711,0.0051244604,0.0043562003,0.0008968566,0.010685177,0.050181802,-0.004762365,0.9905201,0.13728501,0.011953442,monotonic_extrapolation,23.238742183478564,1.4492867906890083e-14,ray_hit,0.0,6.3552875e-14,right_middip_roll_rubber_link,1343
middle,M074,266.356,194.828,305.3702451246321,225.65384016186763,0.00872841,0.0069993236,0.008118497,0.0020322616,0.009535917,0.054230276,0.17910264,0.9048916,0.38612613,0.013823374,brown_exact,1.2539883659639926e-11,1.2539883659639926e-11,ray_hit,0.0,1.2574768e-11,right_middip_roll_rubber_link,1379
middle,M075,220.852,195.382,231.13521256917997,210.2562986126688,0.0055929963,0.008196424,0.011013847,0.0030963775,0.006404278,0.05718111,0.39427257,0.46088368,0.79506946,0.014824566,brown_exact,7.263863829320982e-15,7.263863829320982e-15,ray_hit,0.0,2.842171e-14,right_middip_roll_rubber_link,1573
middle,M076,100.159,197.442,86.09752487830187,215.5553221452555,-0.0062195887,0.008127257,0.010356021,0.0027487893,-0.0054096216,0.056646653,0.3350719,-0.6267861,0.70346713,0.0145596275,brown_exact,2.5965968727351454e-12,2.5965968727351454e-12,ray_hit,0.0,2.6030313e-12,right_middip_roll_rubber_link,892
middle,M077,3.839,198.901,-202.80411582595391,304.19566501526026,-0.009635748,0.0050224247,0.003431056,0.00042191075,-0.0088341,0.04942697,-0.0516142,-0.9909784,0.12368402,0.011394935,monotonic_extrapolation,34.646012629088276,2.905545531728393e-14,ray_hit,0.0,1.3322676e-15,right_middip_roll_rubber_link,1108
middle,M078,54.586,198.983,2.859219312111975,238.54483092216577,-0.008751384,0.006799729,0.007076444,0.0015440548,-0.0079457285,0.053323295,0.100964904,-0.9395668,0.32713965,0.01314911,brown_exact,3.3444442666762494e-12,3.3444442666762494e-12,ray_hit,0.0,3.381019e-12,right_middip_roll_rubber_link,1302
middle,M079,244.579,204.647,269.67979782848295,233.01646892597276,0.00752978,0.0086199595,0.009384348,0.0016827545,0.008336033,0.05625603,0.26305524,0.7308072,0.6298593,0.014800921,brown_exact,2.0010522119308872e-11,2.0010522119308872e-11,ray_hit,0.0,1.9992485e-11,right_middip_roll_rubber_link,1371
middle,M080,160.41,205.776,159.75314413188187,219.69508974537501,-0.00044324188,0.009601245,0.01175905,0.0025751877,0.00036614278,0.05867587,0.40785962,-0.02851521,0.91259927,0.015187351,brown_exact,1.4492867906890083e-14,1.4492867906890083e-14,ray_hit,0.0,5.684342e-14,right_middip_roll_rubber_link,1561
middle,M081,179.625,206.032,181.97274154113933,220.51270962593026,0.001547092,0.009635015,0.011710579,0.0025105372,0.0023562587,0.058662545,0.4099127,0.12974577,0.90284973,0.015243513,brown_exact,1.4492867906890083e-14,1.4492867906890083e-14,ray_hit,0.0,2.842171e-14,right_middip_roll_rubber_link,1564
middle,M082,281.838,206.528,350.3344936807197,260.0945150484869,0.009270391,0.0073573696,0.006534208,0.0007025127,0.01007316,0.053294837,0.07248515,0.96169573,0.2643619,0.013519132,monotonic_extrapolation,1.7474514190463935,1.36962010219181e-13,ray_hit,0.0,8.038873e-14,right_middip_roll_rubber_link,1338
middle,M083,141.537,206.763,137.63580660418026,222.33132452874568,-0.002381477,0.009639121,0.0115204975,0.0023940625,-0.0015727506,0.058524266,0.40130237,-0.1994256,0.8939719,0.015208745,brown_exact,3.631931914660491e-15,3.631931914660491e-15,ray_hit,0.0,2.842171e-14,right_middip_roll_rubber_link,831
middle,M084,78.767,207.44,47.74089127488017,240.9768196528875,-0.0076913186,0.008429934,0.008606131,0.0013562788,-0.0068863262,0.05555122,0.18700163,-0.81869686,0.54292345,0.014292854,brown_exact,3.488491542823012e-12,3.488491542823012e-12,ray_hit,0.0,3.526612e-12,right_middip_roll_rubber_link,1293
